date,avg_temp
2024-10-01,17.0
2024-10-02,18.3
2024-10-03,19.0
2024-10-04,22.0
2024-10-05,24.0
2024-10-06,23.2
2024-10-07,20.4
2024-10-08,21.0
2024-10-09,20.2
2024-10-10,22.9
2024-10-11,23.8
2024-10-12,19.8
2024-10-13,17.0
2024-10-14,17.6
2024-10-15,18.5
2024-10-16,18.2
2024-10-17,17.7
2024-10-18,14.3
2024-10-19,13.9
2024-10-20,13.7
2024-10-21,14.2
2024-10-22,14.7
2024-10-23,15.4
2024-10-24,16.0
2024-10-25,16.1
2024-10-26,15.3
2024-10-27,16.2
2024-10-28,14.1
2024-10-29,16.5
2024-10-30,16.2
2024-10-31,15.5
